x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46283000,-0.20737000,0.24566000,0.50540306,-0.49933302,0.49576300,0.49945302,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,23.10955691,1.34391437,20.01673173,1.34391437,0.22604907,2.56332775,20.01673173,2.56332775,42.57206746
0.46282846,-0.20737690,0.24565994,0.50540395,-0.49933118,0.49576205,0.49945491,299.89049459,0.57559302,-0.08612277,0.57559302,299.16546866,0.26304398,-0.08612277,0.26304398,299.44899806,23.18363153,1.42939268,20.05507255,1.42939268,0.24252480,2.67645045,20.05507255,2.67645045,42.32327349
0.46282392,-0.20739676,0.24565976,0.50540660,-0.49932571,0.49575921,0.49946052,299.77901637,1.15223384,-0.17233092,1.15223384,298.33117937,0.52499136,-0.17233092,0.52499136,298.89590054,23.25881855,1.51631572,20.09389213,1.51631572,0.26005781,2.79088358,20.09389213,2.79088358,42.07265101
0.46281654,-0.20742838,0.24565947,0.50541091,-0.49931672,0.49575456,0.49946975,299.66553090,1.72992485,-0.25862316,1.72992485,297.49715636,0.78581870,-0.25862316,0.78581870,298.34066745,23.33511743,1.60468999,20.13318501,1.60468999,0.27868186,2.90661088,20.13318501,2.90661088,41.82027951
0.46280645,-0.20747057,0.24565907,0.50541683,-0.49930435,0.49574815,0.49948249,299.55000343,2.30866812,-0.34499810,2.30866812,296.66342445,1.04550241,-0.34499810,1.04550241,297.78325820,23.41252676,1.69452106,20.17294510,1.69452106,0.29843083,3.02361459,20.17294510,3.02361459,41.56624210
0.46279380,-0.20752218,0.24565857,0.50542429,-0.49928870,0.49574005,0.49949864,299.43239889,2.88846539,-0.43145431,2.88846539,295.83000906,1.30401879,-0.43145431,1.30401879,297.22363158,23.49104415,1.78581349,20.21316564,1.78581349,0.31933869,3.14187550,20.21316564,3.14187550,41.31062552
0.46277874,-0.20758208,0.24565796,0.50543321,-0.49926987,0.49573030,0.49951811,299.31268198,3.46931808,-0.51799028,3.46931808,294.99693624,1.56134398,-0.51799028,1.56134398,296.66174584,23.57066624,1.87857080,20.25383922,1.87857080,0.34143941,3.26137283,20.25383922,3.26137283,41.05352013
0.46276142,-0.20764917,0.24565727,0.50544353,-0.49924798,0.49571896,0.49954079,299.19081708,4.05122725,-0.60460444,4.05122725,294.16423268,1.81745402,-0.60460444,1.81745402,296.09755868,23.65138862,1.97279542,20.29495770,1.97279542,0.36476691,3.38208427,20.29495770,3.38208427,40.79501987
0.46274199,-0.20772238,0.24565648,0.50545519,-0.49922312,0.49570609,0.49956660,299.06676833,4.63419361,-0.69129514,4.63419361,293.33192572,2.07232483,-0.69129514,2.07232483,295.53102724,23.73320583,2.06848859,20.33651224,2.06848859,0.38935499,3.50398595,20.33651224,3.50398595,40.53522225
0.46272060,-0.20780066,0.24565561,0.50546812,-0.49919541,0.49569175,0.49959545,298.94049964,5.21821744,-0.77806067,5.21821744,292.50004337,2.32593226,-0.77806067,2.32593226,294.96210817,23.81611129,2.16565037,20.37849324,2.16565037,0.41523725,3.62705238,20.37849324,3.62705238,40.27422831
