x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,1.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,1.35399153,-2.64466042,-2.19497688,-2.64466042,6.66808434,2.82836959,-2.19497688,2.82836959,19.27796206
0.55000043,-0.00000197,0.30000007,1.00000000,-0.00000038,0.00000023,-0.00000048,299.33603927,0.28337228,-0.03063116,0.28337228,299.79530485,-0.66034509,-0.03063116,-0.66034509,299.03158245,1.35798882,-2.65608739,-2.17242477,-2.65608739,6.69614240,2.77149433,-2.17242477,2.77149433,19.17559338
0.55000166,-0.00000771,0.30000027,1.00000000,-0.00000150,0.00000090,-0.00000190,298.67105582,0.56915418,-0.06294547,0.56915418,299.58966524,-1.32024279,-0.06294547,-1.32024279,298.06379713,1.36203171,-2.66764846,-2.14955288,-2.66764846,6.72456393,2.71373662,-2.14955288,2.71373662,19.07379068
0.55000362,-0.00001700,0.30000060,1.00000000,-0.00000334,0.00000202,-0.00000424,298.00505043,0.85737063,-0.09696295,0.85737063,299.38306362,-1.97967230,-0.09696295,-1.97967230,297.09665151,1.36612033,-2.67934408,-2.12635837,-2.67934408,6.75335105,2.65508680,-2.12635837,2.65508680,18.97260386
0.55000623,-0.00002961,0.30000104,1.00000000,-0.00000588,0.00000357,-0.00000749,297.33802410,1.14804658,-0.13270368,1.14804658,299.17548213,-2.63861252,-0.13270368,-2.63861252,296.13015283,1.37025481,-2.69117468,-2.10283844,-2.69117468,6.78250581,2.59553529,-2.10283844,2.59553529,18.87208368
0.55000941,-0.00004532,0.30000158,1.00000000,-0.00000911,0.00000554,-0.00001161,296.66997806,1.44120700,-0.17018778,1.44120700,298.96690258,-3.29704201,-0.17018778,-3.29704201,295.16430809,1.37443523,-2.70314062,-2.07899033,-2.70314062,6.81203013,2.53507259,-2.07899033,2.53507259,18.77228180
0.55001308,-0.00006390,0.30000222,1.00000000,-0.00001300,0.00000794,-0.00001660,296.00091378,1.73687691,-0.20943545,1.73687691,298.75730650,-3.95493900,-0.20943545,-3.95493900,294.19912407,1.37866169,-2.71524223,-2.05481133,-2.71524223,6.84192587,2.47368928,-2.05481133,2.47368928,18.67325073
0.55001717,-0.00008515,0.30000294,1.00000000,-0.00001752,0.00001074,-0.00002242,295.33083301,2.03508129,-0.25046691,2.03508129,298.54667511,-4.61228141,-0.25046691,-4.61228141,293.23460728,1.38293426,-2.72747979,-2.03029877,-2.72747979,6.87219475,2.41137604,-2.03029877,2.41137604,18.57504381
0.55002160,-0.00010884,0.30000375,1.00000000,-0.00002267,0.00001396,-0.00002906,294.65973773,2.33584516,-0.29330241,2.33584516,298.33498930,-5.26904681,-0.29330241,-5.26904681,292.27076399,1.38725299,-2.73985355,-2.00545006,-2.73985355,6.90283840,2.34812365,-2.00545006,2.34812365,18.47771520
0.55002630,-0.00013478,0.30000463,1.00000000,-0.00002843,0.00001757,-0.00003650,293.98763021,2.63919353,-0.33796227,2.63919353,298.12222966,-5.92521246,-0.33796227,-5.92521246,291.30760024,1.39161793,-2.75236369,-1.98026263,-2.75236369,6.93385836,2.28392300,-1.98026263,2.28392300,18.38131985
