x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.51985711,-0.17978597,0.26002102,0.99999998,0.00000299,0.00000886,0.00019774,203.50949957,0.02087445,-0.01374353,0.02087445,202.48182036,-0.76977850,-0.01374353,-0.76977850,202.23359311,41.39047903,1.57714101,9.45283813,1.57714101,5.05923632,2.90952925,9.45283813,2.90952925,9.07361617
0.51983560,-0.17974430,0.26002314,0.99999998,0.00000333,0.00000975,0.00021967,203.71830088,0.02213102,-0.01417417,0.02213102,202.62215563,-0.81625634,-0.01417417,-0.81625634,202.36828458,41.28570185,1.56485663,9.44945038,1.56485663,5.19493110,3.01123151,9.44945038,3.01123151,9.16800001
0.51981227,-0.17969771,0.26002531,0.99999997,0.00000369,0.00001065,0.00024253,203.92736392,0.02338081,-0.01456374,0.02338081,202.76172507,-0.86290816,-0.01456374,-0.86290816,202.50333666,41.17996044,1.55250876,9.44590956,1.55250876,5.33374606,3.11568773,9.44590956,3.11568773,9.26510172
0.51978707,-0.17964596,0.26002753,0.99999996,0.00000407,0.00001157,0.00026628,204.13668846,0.02462206,-0.01491245,0.02462206,202.90050529,-0.90974099,-0.01491245,-0.90974099,202.63874794,41.07326034,1.54009991,9.44221133,1.54009991,5.47572213,3.22293694,9.44221133,3.22293694,9.36495922
0.51975998,-0.17958880,0.26002979,0.99999996,0.00000446,0.00001250,0.00029090,204.34627429,0.02585299,-0.01522058,0.02585299,203.03847261,-0.95676201,-0.01522058,-0.95676201,202.77451701,40.96560752,1.52763263,9.43835128,1.52763263,5.62089942,3.33301731,9.43835128,3.33301731,9.46760946
0.51973096,-0.17952602,0.26003210,0.99999995,0.00000487,0.00001345,0.00031635,204.55612113,0.02707176,-0.01548837,0.02707176,203.17560304,-1.00397848,-0.01548837,-1.00397848,202.91064234,40.85700836,1.51510959,9.43432494,1.51510959,5.76931713,3.44596604,9.43432494,3.44596604,9.57308824
0.51969998,-0.17945737,0.26003443,0.99999994,0.00000529,0.00001441,0.00034262,204.76622872,0.02827651,-0.01571611,0.02827651,203.31187228,-1.05139776,-0.01571611,-1.05139776,203.04712238,40.74746967,1.50253352,9.43012776,1.50253352,5.92101342,3.56181931,9.43012776,3.56181931,9.68143018
0.51966702,-0.17938263,0.26003680,0.99999993,0.00000574,0.00001537,0.00036966,204.97659673,0.02946535,-0.01590412,0.02946535,203.44725579,-1.09902730,-0.01590412,-1.09902730,203.18395551,40.63699869,1.48990724,9.42575513,1.48990724,6.07602542,3.68061216,9.42575513,3.68061216,9.79266866
0.51963206,-0.17930158,0.26003918,0.99999992,0.00000619,0.00001633,0.00039746,205.18722484,0.03063636,-0.01605270,0.03063636,203.58172870,-1.14687464,-0.01605270,-1.14687464,203.32114005,40.52560309,1.47723366,9.42120236,1.47723366,6.23438910,3.80237847,9.42120236,3.80237847,9.90683565
0.51959508,-0.17921401,0.26004159,0.99999991,0.00000667,0.00001730,0.00042598,205.39811268,0.03178759,-0.01616220,0.03178759,203.71526591,-1.19494743,-0.01616220,-1.19494743,203.45867427,40.41329097,1.46451578,9.41646470,1.46451578,6.39613918,3.92715082,9.41646470,3.92715082,10.02396170
0.51955608,-0.17911970,0.26004402,0.99999990,0.00000716,0.00001827,0.00045520,205.60925987,0.03291705,-0.01623298,0.03291705,203.84784206,-1.24325336,-0.01623298,-1.24325336,203.59655640,40.30007085,1.45175666,9.41153732,1.45175666,6.56130910,4.05496043,9.41153732,4.05496043,10.14407578
0.51951504,-0.17901845,0.26004645,0.99999988,0.00000766,0.00001923,0.00048509,205.82066600,0.03402275,-0.01626540,0.03402275,203.97943154,-1.29180022,-0.01626540,-1.29180022,203.73478460,40.18595169,1.43895946,9.40641535,1.43895946,6.72993090,4.18583707,9.40641535,4.18583707,10.26720525
0.51947195,-0.17891005,0.26004889,0.99999987,0.00000818,0.00002018,0.00051562,206.03233064,0.03510265,-0.01625985,0.03510265,204.11000850,-1.34059587,-0.01625985,-1.34059587,203.87335703,40.07094287,1.42612741,9.40109382,1.42612741,6.90203515,4.31980897,9.40109382,4.31980897,10.39337573
0.51942682,-0.17879431,0.26005134,0.99999985,0.00000872,0.00002113,0.00054678,206.24425333,0.03615471,-0.01621676,0.03615471,204.23954687,-1.38964822,-0.01621676,-1.38964822,204.01227176,39.95505421,1.41326386,9.39556773,1.41326386,7.07765085,4.45690275,9.39556773,4.45690275,10.52261101
0.51937964,-0.17867103,0.26005379,0.99999983,0.00000927,0.00002207,0.00057853,206.45643359,0.03717686,-0.01613652,0.03717686,204.36802038,-1.43896525,-0.01613652,-1.43896525,204.15152687,39.83829595,1.40037218,9.38983199,1.40037218,7.25680539,4.59714330,9.38983199,4.59714330,10.65493294
0.51933041,-0.17854003,0.26005624,0.99999981,0.00000983,0.00002300,0.00061085,206.66887091,0.03816700,-0.01601960,0.03816700,204.49540256,-1.48855500,-0.01601960,-1.48855500,204.29112038,39.72067875,1.38745588,9.38388146,1.38745588,7.43952441,4.74055372,9.38388146,4.74055372,10.79036140
