x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.27571234,0.55083141,0.29799961,0.02136512,0.01960226,-0.00080293,536.11630957,164.62134324,-33.73676923,164.62134324,237.03161419,203.47755680,-33.73676923,203.47755680,310.36418894,52.33966034,-37.13526492,-41.98930914,-37.13526492,37.10505420,55.08208988,-41.98930914,55.08208988,133.23570187
0.27592777,0.55102658,0.29799191,0.02170350,0.01941215,-0.00073478,536.38208745,164.82958209,-33.78452569,164.82958209,237.05161729,203.63480198,-33.78452569,203.63480198,310.28316201,51.28997476,-37.35718149,-40.36536826,-37.35718149,38.16111187,55.03248514,-40.36536826,55.03248514,131.78915358
0.27614641,0.55121966,0.29798491,0.02200698,0.01918631,-0.00066166,536.63651648,165.04706044,-33.83940018,165.04706044,237.07335906,203.79079399,-33.83940018,203.79079399,310.19529472,50.20841233,-37.54410532,-38.73903110,-37.54410532,39.23622854,54.94855998,-38.73903110,54.94855998,130.28238218
0.27636791,0.55141031,0.29797867,0.02227169,0.01892777,-0.00058431,536.87913179,165.27426389,-33.90161805,165.27426389,237.09618217,203.94609431,-33.90161805,203.94609431,310.09984092,49.09769468,-37.69585895,-37.11378060,-37.69585895,40.32935750,54.83056019,-37.11378060,54.83056019,128.72109687
0.27659185,0.55159821,0.29797323,0.02249447,0.01863948,-0.00050358,537.10948155,165.51167931,-33.97140378,165.51167931,237.11941771,204.10127428,-33.97140378,204.10127428,309.99605070,47.96057423,-37.81232082,-35.49307117,-37.81232082,41.43939185,54.67877636,-35.49307117,54.67877636,127.11109269
0.27681780,0.55178310,0.29796860,0.02267298,0.01832421,-0.00042042,537.32712966,165.75979285,-34.04897978,165.75979285,237.14238727,204.25691288,-34.04897978,204.25691288,309.88317502,46.79982250,-37.89342592,-33.88031391,-37.89342592,42.56516002,54.49355179,-33.88031391,54.49355179,125.45820752
0.27704531,0.55196470,0.29796482,0.02280568,0.01798441,-0.00033577,537.53165863,166.01908779,-34.13456505,166.01908779,237.16440499,204.41359436,-34.13456505,204.41359436,309.76047048,45.61821848,-37.93916628,-32.27886183,-37.93916628,43.70542190,54.27528988,-32.27886183,54.27528988,123.76827985
0.27727391,0.55214278,0.29796189,0.02289188,0.01762222,-0.00025064,537.72267238,166.29004239,-34.22837390,166.29004239,237.18477984,204.57190568,-34.22837390,204.57190568,309.62720419,44.41853708,-37.94959139,-30.69199520,-37.94959139,44.85886567,54.02446100,-30.69199520,54.02446100,122.04710752
0.27750314,0.55231714,0.29795981,0.02293177,0.01723939,-0.00016598,537.89979913,166.57312760,-34.33061441,166.57312760,237.20281787,204.73243399,-34.33061441,204.73243399,309.48265866,43.20353773,-37.92480846,-29.12290738,-37.92480846,46.02410532,53.74160866,-29.12290738,53.74160866,120.30040802
0.27773255,0.55248757,0.29795857,0.02292635,0.01683727,-0.00008273,538.06269420,166.86880475,-34.44148698,166.86880475,237.21782462,204.89576397,-34.44148698,204.89576397,309.32613664,41.97595328,-37.86498247,-27.57469096,-37.86498247,47.19967887,53.42735503,-27.57469096,53.42735503,118.53378031
0.27796167,0.55265389,0.29795815,0.02287746,0.01641680,-0.00000173,538.21104286,167.17752319,-34.56118273,167.17752319,237.22910756,205.06247506,-34.56118273,205.06247506,309.15696599,40.73847927,-37.77033602,-26.05032456,-37.77033602,48.38404751,53.08240554,-26.05032456,53.08240554,116.75266885
0.27819010,0.55281591,0.29795853,0.02278767,0.01597852,0.00007624,538.34456305,167.49971787,-34.68988190,167.49971787,237.23597854,205.23313880,-34.68988190,205.23313880,308.97450447,39.49376353,-37.64114900,-24.55266034,-37.64114900,49.57559542,52.70755272,-24.55266034,52.70755272,114.96232978
0.27841742,0.55297346,0.29795968,0.02266027,0.01552263,0.00015056,538.46300810,167.83580692,-34.82775219,167.83580692,237.23775630,205.40831602,-34.82775219,205.40831602,308.77814436,38.24439642,-37.47775793,-23.08441231,-37.47775793,50.77263052,52.30367903,-23.08441231,52.30367903,113.16779983
0.27864330,0.55312636,0.29796154,0.02249916,0.01504899,0.00022069,538.56616928,168.18618928,-34.97494707,168.18618928,237.23376897,205.58855411,-34.97494707,205.58855411,308.56731695,36.99290160,-37.28055512,-21.64814553,-37.28055512,51.97338602,51.87175877,-21.64814553,51.87175877,111.37386790
0.27886741,0.55327444,0.29796409,0.02230873,0.01455725,0.00028627,538.65387827,168.55124225,-35.13160411,168.55124225,237.22335653,205.77438431,-35.13160411,205.77438431,308.34149691,35.74172744,-37.04998756,-20.24626645,-37.04998756,53.17602280,51.41285898,-20.24626645,51.41285898,109.58504972
0.27908948,0.55341750,0.29796727,0.02209382,0.01404685,0.00034707,538.72600952,168.93131917,-35.29784330,168.93131917,237.20587328,205.96631903,-35.29784330,205.96631903,308.10020629,34.49323918,-36.78655548,-18.88101423,-36.78655548,54.37863267,50.92813933,-18.88101423,50.92813933,107.80556570
0.27930928,0.55355537,0.29797103,0.02185951,0.01351717,0.00040299,538.78248236,169.32674710,-35.47376538,169.32674710,237.18069020,206.16484925,-35.47376538,206.16484925,307.84301841,33.24971188,-36.49081072,-17.55445331,-36.49081072,55.57924234,50.41885096,-17.55445331,50.41885096,106.03932208
0.27952667,0.55368785,0.29797533,0.02161109,0.01296757,0.00045409,538.82326302,169.73782460,-35.65945021,169.73782460,237.14719726,206.37044203,-35.65945021,206.37044203,307.56956131,32.01332415,-36.16335480,-16.26846716,-36.16335480,56.77581831,49.88633436,-16.26846716,49.88633436,104.28989545
0.27974151,0.55381473,0.29798011,0.02135384,0.01239751,0.00050055,538.84836644,170.16481958,-35.85495519,170.16481958,237.10480567,206.58353808,-35.85495519,206.58353808,307.27952102,30.78615276,-35.80483675,-15.02475332,-35.80483675,57.96627230,49.33201621,-15.02475332,49.33201621,102.56052083
0.27995374,0.55393580,0.29798534,0.02109300,0.01180662,0.00054266,538.85785776,170.60796725,-36.06031379,170.60796725,237.05294996,206.80454955,-36.06031379,206.80454955,306.97264437,29.57016814,-35.41595070,-13.82481971,-35.41595070,59.14846757,48.75740532,-13.82481971,48.75740532,100.85408313
0.28016337,0.55405086,0.29799097,0.02083354,0.01119477,0.00058082,538.85185374,171.06746826,-36.27553408,171.06746826,236.99108998,207.03385787,-36.27553408,207.03385787,306.64874146,28.36723077,-34.99743330,-12.66998220,-34.99743330,60.32022570,48.16408761,-12.66998220,48.16408761,99.17311215
0.28037041,0.55415969,0.29799696,0.02058013,0.01056215,0.00061551,538.83052381,171.54348684,-36.50059741,171.54348684,236.91871273,207.27181178,-36.50059741,207.27181178,306.30768775,27.17908847,-34.55006086,-11.56136348,-34.55006086,61.47933408,47.55372025,-11.56136348,47.55372025,97.51978097
0.28057497,0.55426210,0.29800328,0.02033698,0.00990933,0.00064726,538.79409092,172.03614928,-36.73545724,172.03614928,236.83533405,207.51872558,-36.73545724,207.51872558,305.94942571,26.00737460,-34.07464642,-10.49989316,-34.07464642,62.62355377,46.92802505,-10.49989316,46.92802505,95.89590756
0.28077715,0.55435788,0.29800990,0.02010776,0.00923727,0.00067665,538.74283208,172.54554239,-36.98003802,172.54554239,236.74050014,207.77487752,-36.98003802,207.77487752,305.57396610,24.85360716,-33.57203667,-9.48630907,-33.57203667,63.75062792,46.28878106,-9.48630907,46.28878106,94.30295968
0.28097712,0.55444685,0.29801681,0.01989554,0.00854739,0.00070427,538.67707867,173.07171225,-37.23423428,173.07171225,236.63378893,208.04050841,-37.23423428,208.04050841,305.18138872,23.71918873,-33.04310874,-8.52115964,-33.04310874,64.85829047,45.63781666,-8.52115964,45.63781666,92.74206272
0.28117506,0.55452883,0.29802399,0.01970269,0.00784150,0.00073074,538.59721646,173.61466312,-37.49790984,173.61466312,236.51481121,208.31582040,-37.49790984,208.31582040,304.77184280,22.60540721,-32.48876692,-7.60480745,-32.48876692,65.94427512,44.97700097,-7.60480745,44.97700097,91.21401032
0.28137118,0.55460368,0.29803142,0.01953088,0.00712187,0.00075662,538.50368527,174.17435656,-37.77089719,174.17435656,236.38321163,208.60097604,-37.77089719,208.60097604,304.34554696,21.51343745,-31.90993945,-6.73743369,-31.90993945,67.00632458,44.30823493,-6.73743369,44.30823493,89.71927768
0.28156568,0.55467127,0.29803912,0.01938106,0.00639113,0.00078247,538.39697847,174.75071069,-38.05299707,174.75071069,236.23866947,208.89609749,-38.05299707,208.89609749,303.90278862,20.44434346,-31.30757519,-5.91904354,-31.30757519,68.04219987,43.63344195,-5.91904354,43.63344195,88.25803713
0.28175880,0.55473150,0.29804707,0.01925344,0.00565224,0.00080880,538.27764208,175.34359974,-38.34397823,175.34359974,236.08089920,209.20126598,-38.34397823,209.20126598,303.44392312,19.39908147,-30.68264040,-5.14947234,-30.68264040,69.04968970,42.95455837,-5.14947234,42.95455837,86.83017586
0.28195075,0.55478431,0.29805529,0.01914753,0.00490845,0.00083604,538.14627360,175.95285378,-38.64357740,175.95285378,235.90965090,209.51652150,-38.64357740,209.51652150,302.96937229,18.37850348,-30.03611563,-4.42839249,-30.03611563,70.02661984,42.27352369,-4.42839249,42.27352369,85.43531547
0.28214175,0.55482967,0.29806379,0.01906219,0.00416317,0.00086457,538.00352062,176.57825863,-38.95149940,176.57825863,235.72471042,209.84186267,-38.95149940,209.84186267,302.47962271,17.38336141,-29.36899266,-3.75532093,-29.36899266,70.97086236,41.59227077,-3.75532093,41.59227077,84.07283308
0.28233199,0.55486757,0.29807259,0.01899571,0.00341995,0.00089471,537.85007904,177.21955606,-39.26741758,177.21955606,235.52589936,210.17724690,-39.26741758,210.17724690,301.97522341,16.41431177,-28.68227160,-3.12962706,-28.68227160,71.88034476,40.91271613,-3.12962706,40.91271613,82.74188372
0.28252166,0.55489807,0.29808169,0.01894587,0.00268235,0.00092670,537.68669103,177.87644423,-39.59097446,177.87644423,235.31307482,210.52259073,-39.59097446,210.52259073,301.45678333,15.47192066,-27.97695819,-2.55054116,-27.97695819,72.75305881,40.23675019,-2.55054116,40.23675019,81.44142368
0.28271091,0.55492122,0.29809112,0.01891004,0.00195384,0.00096070,537.51414241,178.54857848,-39.92178278,178.54857848,235.08612882,210.87777063,-39.92178278,210.87777063,300.92496801,14.55666922,-27.25406126,-2.01716301,-27.25406126,73.58706918,39.56622795,-2.01716301,39.56622795,80.17023472
0.28289986,0.55493714,0.29810090,0.01888526,0.00123775,0.00099679,537.33325875,179.23557338,-40.25942787,179.23557338,234.84498674,211.24262475,-40.25942787,211.24262475,300.38049517,13.66895925,-26.51459040,-1.52847072,-26.51459040,74.38052165,38.90295973,-1.52847072,38.90295973,78.92694853
