x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.29956658,0.55006375,0.30009281,0.00058436,-0.00002852,-0.00011077,142.66008207,10.32033710,66.26800408,10.32033710,119.71464881,71.43099203,66.26800408,71.43099203,154.31443373,0.05366943,0.00507571,-0.00078618,0.00507571,0.11547698,0.02474409,-0.00078618,0.02474409,0.07238964
0.29957243,0.55006346,0.30009170,0.00058454,-0.00003082,-0.00011151,142.80223362,10.33049933,66.33426599,10.33049933,119.83387208,71.50264665,66.33426599,71.50264665,154.46840829,0.05367665,0.00510440,-0.00079846,0.00510440,0.11562070,0.02504780,-0.00079846,0.02504780,0.07292561
0.29957827,0.55006314,0.30009058,0.00058478,-0.00003312,-0.00011226,142.94452356,10.34066756,66.40059498,10.34066756,119.95321492,71.57437539,66.40059498,71.57437539,154.62253155,0.05368379,0.00513283,-0.00081060,0.00513283,0.11576261,0.02534866,-0.00081060,0.02534866,0.07346243
0.29958412,0.55006279,0.30008946,0.00058508,-0.00003541,-0.00011300,143.08695204,10.35084183,66.46699110,10.35084183,120.07267740,71.64617829,66.46699110,71.64617829,154.77680367,0.05369084,0.00516099,-0.00082259,0.00516099,0.11590270,0.02564668,-0.00082259,0.02564668,0.07399988
0.29958998,0.55006243,0.30008832,0.00058545,-0.00003771,-0.00011374,143.22951925,10.36102216,66.53345442,10.36102216,120.19225960,71.71805541,66.53345442,71.71805541,154.93122483,0.05369781,0.00518889,-0.00083443,0.00518889,0.11604100,0.02594182,-0.00083443,0.02594182,0.07453776
0.29959583,0.55006204,0.30008718,0.00058589,-0.00004002,-0.00011449,143.37222534,10.37120857,66.59998501,10.37120857,120.31196159,71.79000679,66.59998501,71.79000679,155.08579521,0.05370469,0.00521652,-0.00084613,0.00521652,0.11617752,0.02623407,-0.00084613,0.02623407,0.07507586
0.29960169,0.55006163,0.30008603,0.00058639,-0.00004235,-0.00011524,143.51507050,10.38140109,66.66658293,10.38140109,120.43178345,71.86203247,66.66658293,71.86203247,155.24051497,0.05371149,0.00524388,-0.00085768,0.00524388,0.11631227,0.02652341,-0.00085768,0.02652341,0.07561400
0.29960756,0.55006119,0.30008488,0.00058696,-0.00004472,-0.00011599,143.65805488,10.39159975,66.73324824,10.39159975,120.55172526,71.93413252,66.73324824,71.93413252,155.39538429,0.05371820,0.00527097,-0.00086909,0.00527097,0.11644528,0.02680983,-0.00086909,0.02680983,0.07615198
0.29961343,0.55006073,0.30008371,0.00058760,-0.00004713,-0.00011675,143.80117868,10.40180457,66.79998101,10.40180457,120.67178709,72.00630698,66.79998101,72.00630698,155.55040336,0.05372483,0.00529779,-0.00088035,0.00529779,0.11657654,0.02709332,-0.00088035,0.02709332,0.07668961
0.29961931,0.55006025,0.30008254,0.00058830,-0.00004959,-0.00011751,143.94444204,10.41201558,66.86678130,10.41201558,120.79196902,72.07855589,66.86678130,72.07855589,155.70557234,0.05373137,0.00532434,-0.00089147,0.00532434,0.11670609,0.02737387,-0.00089147,0.02737387,0.07722671
0.29962520,0.55005974,0.30008136,0.00058907,-0.00005211,-0.00011828,144.08784516,10.42223281,66.93364917,10.42223281,120.91227113,72.15087932,66.93364917,72.15087932,155.86089142,0.05373784,0.00535062,-0.00090245,0.00535062,0.11683392,0.02765147,-0.00090245,0.02765147,0.07776309
0.29963109,0.55005921,0.30008017,0.00058992,-0.00005469,-0.00011906,144.23138819,10.43245630,67.00058470,10.43245630,121.03269351,72.22327729,67.00058470,72.22327729,156.01636078,0.05374422,0.00537662,-0.00091329,0.00537662,0.11696007,0.02792610,-0.00091329,0.02792610,0.07829860
