x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.39074226,0.45707881,0.24504447,0.99998939,0.00182688,0.00260662,0.00332868,161.68584017,-66.55453882,32.51450469,-66.55453882,108.24613184,-41.44639605,32.51450469,-41.44639605,248.31616535,1.38825678,-2.74941386,5.05065234,-2.74941386,20.95106954,-7.26247716,5.05065234,-7.26247716,56.65681325
0.39052082,0.45911997,0.24504804,0.99998942,0.00182454,0.00262796,0.00330410,160.24549980,-66.68651033,32.84937727,-66.68651033,107.97793737,-41.51093033,32.84937727,-41.51093033,247.44945163,1.34910541,-2.68129738,4.98787932,-2.68129738,20.32016836,-7.43409110,4.98787932,-7.43409110,56.89254687
0.39029638,0.46115436,0.24505158,0.99998945,0.00182200,0.00264913,0.00327981,158.81528232,-66.81004807,33.18448804,-66.81004807,107.71321364,-41.57904778,33.18448804,-41.57904778,246.57764555,1.31119896,-2.61396507,4.92619510,-2.61396507,19.68931696,-7.59682222,4.92619510,-7.59682222,57.13529110
0.39006896,0.46318189,0.24505511,0.99998948,0.00181927,0.00267014,0.00325582,157.39539980,-66.92509746,33.51978499,-66.92509746,107.45193374,-41.65080083,33.51978499,-41.65080083,245.70089530,1.27449975,-2.54742253,4.86558696,-2.54742253,19.05904511,-7.75047042,4.86558696,-7.75047042,57.38510286
0.38983858,0.46520246,0.24505864,0.99998951,0.00181636,0.00269099,0.00323212,155.98606089,-67.03160765,33.85521637,-67.03160765,107.19406574,-41.72624058,33.85521637,-41.72624058,244.81934911,1.23897057,-2.48167433,4.80604092,-2.48167433,18.42989378,-7.89483652,4.80604092,-7.89483652,57.64203577
0.38960529,0.46721599,0.24506217,0.99998953,0.00181326,0.00271167,0.00320871,154.58747074,-67.12953164,34.19073067,-67.12953164,106.93957269,-41.80541672,34.19073067,-41.80541672,243.93315522,1.20457467,-2.41672403,4.74754178,-2.41672403,17.80241454,-8.02972269,4.74754178,-8.02972269,57.90613982
0.38936911,0.46922241,0.24506570,0.99998956,0.00180999,0.00273219,0.00318560,153.19983080,-67.21882634,34.52627669,-67.21882634,106.68841253,-41.88837746,34.52627669,-41.88837746,243.04246175,1.17127585,-2.35257425,4.69007317,-2.35257425,17.17716882,-8.15493271,4.69007317,-8.15493271,58.17746124
0.38913009,0.47122163,0.24506925,0.99998958,0.00180655,0.00275254,0.00316277,151.82333877,-67.29945275,34.86180353,-67.29945275,106.44053805,-41.97516948,34.86180353,-41.97516948,242.14741666,1.13903841,-2.28922674,4.63361750,-2.28922674,16.55472715,-8.27027237,4.63361750,-8.27027237,58.45604217
0.38888827,0.47321360,0.24507281,0.99998960,0.00180295,0.00277273,0.00314024,150.45818842,-67.37137596,35.19726067,-67.37137596,106.19589686,-42.06583786,35.19726067,-42.06583786,241.24816764,1.10782724,-2.22668239,4.57815601,-2.22668239,15.93566837,-8.37554983,4.57815601,-8.37554983,58.74192049
0.38864370,0.47519826,0.24507640,0.99998962,0.00179918,0.00279276,0.00311800,149.10456949,-67.43456531,35.53259794,-67.43456531,105.95443130,-42.16042599,35.53259794,-42.16042599,240.34486209,1.07760777,-2.16494130,4.52366882,-2.16494130,15.32057878,-8.47057605,4.52366882,-8.47057605,59.03512951
0.38839643,0.47717555,0.24508001,0.99998964,0.00179525,0.00281261,0.00309604,147.76266756,-67.48899446,35.86776558,-67.48899446,105.71607850,-42.25897554,35.86776558,-42.25897554,239.43764701,1.04834605,-2.10400284,4.47013489,-2.10400284,14.71005122,-8.55516519,4.47013489,-8.55516519,59.33569770
0.38814652,0.47914542,0.24508366,0.99998966,0.00179118,0.00283230,0.00307437,146.43266389,-67.53464147,36.20271424,-67.53464147,105.48077030,-42.36152636,36.20271424,-42.36152636,238.52666896,1.02000872,-2.04386569,4.41753206,-2.04386569,14.10468415,-8.62913501,4.41753206,-8.62913501,59.64364848
0.38789404,0.48110784,0.24508734,0.99998968,0.00178695,0.00285182,0.00305299,145.11473537,-67.57148888,36.53739504,-67.57148888,105.24843327,-42.46811642,36.53739504,-42.46811642,237.61207400,0.99256303,-1.98452792,4.36583706,-1.98452792,13.50508064,-8.69230738,4.36583706,-8.69230738,59.95899987
0.38763903,0.48306277,0.24509106,0.99998969,0.00178259,0.00287117,0.00303188,143.80905431,-67.59952382,36.87175956,-67.59952382,105.01898872,-42.57878176,36.87175956,-42.57878176,236.69400763,0.96597685,-1.92598703,4.31502554,-1.92598703,12.91184738,-8.74450871,4.31502554,-8.74450871,60.28176426
0.38738157,0.48501018,0.24509482,0.99998971,0.00177808,0.00289034,0.00301106,142.51578841,-67.61873806,37.20575989,-67.61873806,104.79235270,-42.69355640,37.20575989,-42.69355640,235.77261475,0.94021870,-1.86824004,4.26507206,-1.86824004,12.32559356,-8.78557044,4.26507206,-8.78557044,60.61194807
0.38712172,0.48695007,0.24509862,0.99998972,0.00177345,0.00290935,0.00299052,141.23510056,-67.62912811,37.53934862,-67.62912811,104.56843607,-42.81247232,37.53934862,-42.81247232,234.84803959,0.91525774,-1.81128349,4.21595010,-1.81128349,11.74692982,-8.81532951,4.21595010,-8.81532951,60.94955151
0.38685956,0.48888240,0.24510247,0.99998974,0.00176869,0.00292818,0.00297025,139.96714879,-67.63069524,37.87247893,-67.63069524,104.34714448,-42.93555934,37.87247893,-42.93555934,233.92042571,0.89106374,-1.75511359,4.16763210,-1.75511359,11.17646704,-8.83362890,4.16763210,-8.83362890,61.29456825
0.38659515,0.49080718,0.24510636,0.99998975,0.00176381,0.00294684,0.00295026,138.71208613,-67.62344560,38.20510452,-67.62344560,104.12837846,-43.06284509,38.20510452,-43.06284509,232.98991589,0.86760715,-1.69972621,4.12008942,-1.69972621,10.61481520,-8.84031812,4.12008942,-8.84031812,61.64698517
0.38632858,0.49272441,0.24511029,0.99998976,0.00175881,0.00296533,0.00293054,137.47006050,-67.60739025,38.53717971,-67.60739025,103.91203349,-43.19435493,38.53717971,-43.19435493,232.05665218,0.84485907,-1.64511698,4.07329241,-1.64511698,10.06258219,-8.83525375,4.07329241,-8.83525375,62.00678198
0.38605990,0.49463409,0.24511427,0.99998977,0.00175370,0.00298364,0.00291108,136.24121460,-67.58254524,38.86865942,-67.58254524,103.69800005,-43.33011194,38.86865942,-43.33011194,231.12077580,0.82279123,-1.59128135,4.02721038,-1.59128135,9.52037250,-8.81829996,4.02721038,-8.81829996,62.37393102
0.38578922,0.49653624,0.24511828,0.99998978,0.00174849,0.00300177,0.00289190,135.02568586,-67.54893161,39.19949921,-67.54893161,103.48616369,-43.47013680,39.19949921,-43.47013680,230.18242714,0.80137604,-1.53821463,3.98181163,-1.53821463,8.98878601,-8.78932904,3.98181163,-8.78932904,62.74839691
0.38551659,0.49843086,0.24512234,0.99998979,0.00174318,0.00301973,0.00287298,133.82360626,-67.50657549,39.52965529,-67.50657549,103.27640518,-43.61444775,39.52965529,-43.61444775,229.24174574,0.78058654,-1.48591212,3.93706344,-1.48591212,8.46841666,-8.74822198,3.93706344,-8.74822198,63.13013627
0.38524209,0.50031800,0.24512643,0.99998980,0.00173778,0.00303751,0.00285432,132.63510231,-67.45550810,39.85908455,-67.45550810,103.06860059,-43.76306058,39.85908455,-43.76306058,228.29887025,0.76039643,-1.43436910,3.89293210,-1.43436910,7.95985118,-8.69486897,3.89293210,-8.69486897,63.51909743
0.38496582,0.50219766,0.24513056,0.99998981,0.00173229,0.00305510,0.00283592,131.46029493,-67.39576580,40.18774455,-67.39576580,102.86262140,-43.91598852,40.18774455,-43.91598852,227.35393844,0.74078007,-1.38358093,3.84938289,-1.38358093,7.46366771,-8.62916997,3.84938289,-8.62916997,63.91522016
0.38468784,0.50406989,0.24513471,0.99998982,0.00172671,0.00307252,0.00281778,130.29929939,-67.32739012,40.51559358,-67.32739012,102.65833464,-44.07324223,40.51559358,-44.07324223,226.40708714,0.72171246,-1.33354313,3.80638015,-1.33354313,6.98043451,-8.55103525,3.80638015,-8.55103525,64.31843540
0.38440824,0.50593472,0.24513888,0.99998983,0.00172107,0.00308976,0.00279988,129.15222520,-67.25042775,40.84259066,-67.25042775,102.45560305,-44.23482974,40.84259066,-44.23482974,225.45845230,0.70316925,-1.28425138,3.76388721,-1.28425138,6.51070857,-8.46038593,3.76388721,-8.46038593,64.72866498
0.38412709,0.50779219,0.24514307,0.99998983,0.00171535,0.00310681,0.00278224,128.01917607,-67.16493058,41.16869554,-67.16493058,102.25428522,-44.40075641,41.16869554,-44.40075641,224.50816891,0.68512673,-1.23570169,3.72186646,-1.23570169,6.05503427,-8.35715453,3.72186646,-8.35715453,65.14582135
0.38384448,0.50964235,0.24514727,0.99998984,0.00170956,0.00312368,0.00276484,126.90024984,-67.07095571,41.49386873,-67.07095571,102.05423578,-44.57102488,41.49386873,-44.57102488,223.55637106,0.66756186,-1.18789035,3.68027935,-1.18789035,5.61394206,-8.24128547,3.68027935,-8.24128547,65.56980738
0.38356049,0.51148524,0.24515147,0.99998984,0.00170372,0.00314036,0.00274769,125.79553839,-66.96856543,41.81807153,-66.96856543,101.85530552,-44.74563504,41.81807153,-44.74563504,222.60319188,0.65045222,-1.14081404,3.63908638,-1.14081404,5.18794703,-8.11273558,3.63908638,-8.11273558,66.00051606
0.38327519,0.51332091,0.24515566,0.99998985,0.00169782,0.00315686,0.00273077,124.70512766,-66.85782722,42.14126602,-66.85782722,101.65734166,-44.92458402,42.14126602,-44.92458402,221.64876360,0.63377603,-1.09446992,3.59824712,-1.09446992,4.77754766,-7.97147468,3.59824712,-7.97147468,66.43783035
0.38298867,0.51514941,0.24515983,0.99998985,0.00169188,0.00317317,0.00271409,123.62909751,-66.73881374,42.46341509,-66.73881374,101.46018799,-45.10786611,42.46341509,-45.10786611,220.69321752,0.61751216,-1.04885563,3.55772024,-1.04885563,4.38322443,-7.81748596,3.55772024,-7.81748596,66.88162291
