x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.45442479,0.24193205,0.30044694,-0.04182281,0.14518584,-0.00343953,138.64507079,117.34979895,7.65841864,117.34979895,167.34507109,-17.43494304,7.65841864,-17.43494304,139.79992456,0.10592431,0.05519226,0.09961583,0.05519226,19.65249069,21.22312731,0.09961583,21.22312731,25.09800062
0.45400428,0.24338146,0.30041252,-0.04227849,0.14469007,-0.00344558,137.71399982,116.55922602,7.63860942,116.55922602,166.75859357,-17.47689204,7.63860942,-17.47689204,139.22158282,0.10182503,0.05689583,0.10208028,0.05689583,19.31208332,21.09678752,0.10208028,21.09678752,25.23809801
0.45357924,0.24482577,0.30037803,-0.04272813,0.14416802,-0.00345054,136.78890937,115.76588262,7.62032384,115.76588262,166.16306943,-17.51705476,7.62032384,-17.51705476,138.64853811,0.09800600,0.05842495,0.10435307,0.05842495,18.97417326,20.96875851,0.10435307,20.96875851,25.37975768
0.45314974,0.24626473,0.30034351,-0.04317137,0.14361980,-0.00345439,135.86996779,114.97003169,7.60357821,114.97003169,165.55870208,-17.55539251,7.60357821,-17.55539251,138.08085520,0.09444922,0.05978552,0.10643303,0.05978552,18.63882909,20.83911814,0.10643303,20.83911814,25.52302874
0.45271584,0.24769808,0.30030895,-0.04360788,0.14304565,-0.00345711,134.95733943,114.17193386,7.58838796,114.17193386,164.94569656,-17.59186846,7.58838796,-17.59186846,137.51859616,0.09113759,0.06098325,0.10831941,0.06098325,18.30611971,20.70794449,0.10831941,20.70794449,25.66796046
0.45227760,0.24912556,0.30027437,-0.04403737,0.14244589,-0.00345864,134.05118450,113.37184728,7.57476758,113.37184728,164.32425944,-17.62644763,7.57476758,-17.62644763,136.96182030,0.08805498,0.06202370,0.11001188,0.06202370,17.97611423,20.57531566,0.11001188,20.57531566,25.81460177
0.45183511,0.25054691,0.30023978,-0.04445956,0.14182092,-0.00345896,133.15165902,112.57002751,7.56273061,112.57002751,163.69459856,-17.65909699,7.56273061,-17.65909699,136.41058411,0.08518608,0.06291218,0.11151039,0.06291218,17.64888185,20.44130968,0.11151039,20.44130968,25.96300068
0.45138844,0.25196189,0.30020520,-0.04487422,0.14117127,-0.00345802,132.25891468,111.76672740,7.55228968,111.76672740,163.05692292,-17.68978540,7.55228968,-17.68978540,135.86494126,0.08251649,0.06365376,0.11281509,0.06365376,17.32449177,20.30600439,0.11281509,20.30600439,26.11320381
0.45093765,0.25337026,0.30017063,-0.04528112,0.14049754,-0.00345576,131.37309878,110.96219695,7.54345645,110.96219695,162.41144245,-17.71848370,7.54345645,-17.71848370,135.32494249,0.08003258,0.06425318,0.11392621,0.06425318,17.00301301,20.16947735,0.11392621,20.16947735,26.26525586
0.45048284,0.25477177,0.30013608,-0.04568009,0.13980042,-0.00345212,130.49435411,110.15668322,7.53624164,110.15668322,161.75836794,-17.74516469,7.53624164,-17.74516469,134.79063566,0.07772154,0.06471490,0.11484401,0.06471490,16.68451433,20.03180566,0.11484401,20.03180566,26.41919907
