x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.58182670,0.23514304,0.29737660,0.03597233,0.09099793,-0.00016034,202.65919692,46.59501898,-22.38814333,46.59501898,291.11085421,55.65863260,-22.38814333,55.65863260,249.64265950,61.56297775,-4.28411465,8.49379636,-4.28411465,6.94746338,3.41519550,8.49379636,3.41519550,27.58265371
0.58217815,0.23605731,0.29737492,0.03432434,0.09184121,-0.00017604,202.74483436,46.83286236,-22.35314983,46.83286236,290.65238332,55.72156549,-22.35314983,55.72156549,249.49031788,62.04311916,-3.83081876,8.63408628,-3.83081876,6.85542656,3.44880262,8.63408628,3.44880262,27.64224623
0.58251318,0.23697987,0.29737308,0.03268867,0.09265580,-0.00019315,202.83625149,47.06488968,-22.32058973,47.06488968,290.18798990,55.78487569,-22.32058973,55.78487569,249.33566167,62.50433326,-3.36210769,8.77173829,-3.36210769,6.76948179,3.48756902,8.77173829,3.48756902,27.70056816
0.58283193,0.23791042,0.29737106,0.03106838,0.09344070,-0.00021167,202.93332394,47.29108276,-22.29044136,47.29108276,289.71759351,55.84863361,-22.29044136,55.84863361,249.17866580,62.94650400,-2.87819128,8.90669773,-2.87819128,6.69016483,3.53145800,8.90669773,3.53145800,27.75757925
0.58313455,0.23884868,0.29736885,0.02946644,0.09419510,-0.00023157,203.03592696,47.51142671,-22.26268031,47.51142671,289.24111125,55.91290559,-22.26268031,55.91290559,249.01930205,63.36953492,-2.37929735,9.03891381,-2.37929735,6.61801830,3.58042837,9.03891381,3.58042837,27.81324429
0.58342125,0.23979433,0.29736643,0.02788573,0.09491835,-0.00025285,203.14393546,47.72590986,-22.23727948,47.72590986,288.75845783,55.97775369,-22.23727948,55.97775369,248.85753890,63.77334895,-1.86567155,9.16833955,-1.86567155,6.55359083,3.63443453,9.16833955,3.63443453,27.86753291
0.58369226,0.24074705,0.29736379,0.02632903,0.09561002,-0.00027549,203.25722406,47.93452380,-22.21420911,47.93452380,288.26954555,56.04323563,-22.21420911,56.04323563,248.69334149,64.15788802,-1.33757708,9.29493175,-1.33757708,6.49743610,3.69342645,9.29493175,3.69342645,27.92041944
0.58394783,0.24170653,0.29736092,0.02479900,0.09626983,-0.00029945,203.37566702,48.13726334,-22.19343680,48.13726334,287.77428431,56.10940456,-22.19343680,56.10940456,248.52667147,64.52311280,-0.79529443,9.41865088,-0.79529443,6.45011183,3.75734977,9.41865088,3.75734977,27.97188277
0.58418824,0.24267244,0.29735780,0.02329820,0.09689771,-0.00032471,203.49913840,48.33412656,-22.17492757,48.33412656,287.27258169,56.17630903,-22.17492757,56.17630903,248.35748693,64.86900234,-0.23912108,9.53946109,-0.23912108,6.41217877,3.82614590,9.53946109,3.82614590,28.02190617
0.58441380,0.24364448,0.29735443,0.02182905,0.09749377,-0.00035124,203.62751197,48.52511474,-22.15864388,48.52511474,286.76434295,56.24399277,-22.15864388,56.24399277,248.18574237,65.19555371,0.33062881,9.65733009,0.33062881,6.38419964,3.89975197,9.65733009,3.89975197,28.07047709
0.58462483,0.24462232,0.29735078,0.02039385,0.09805830,-0.00037901,203.76066133,48.71023242,-22.14454568,48.71023242,286.24947112,56.31249467,-22.14454568,56.31249467,248.01138862,65.50278159,0.91362475,9.77222909,0.91362475,6.36673797,3.97810103,9.77222909,3.97810103,28.11758696
0.58482168,0.24560565,0.29734685,0.01899478,0.09859175,-0.00040799,203.89845987,48.88948734,-22.13259046,48.88948734,285.72786705,56.38184860,-22.13259046,56.38184860,247.83437279,65.79071794,1.50952026,9.88413275,1.50952026,6.36035704,4.06112201,9.88413275,4.06112201,28.16323103
0.58500472,0.24659415,0.29734262,0.01763386,0.09909478,-0.00043812,204.04078088,49.06289045,-22.12273330,49.06289045,285.19942950,56.45208335,-22.12273330,56.45208335,247.65463826,66.05941156,2.11795334,9.99301911,2.11795334,6.36561860,4.14873986,9.99301911,4.14873986,28.20740810
0.58517435,0.24758754,0.29733808,0.01631298,0.09956820,-0.00046939,204.18749753,49.23045591,-22.11492692,49.23045591,284.66405524,56.52322254,-22.11492692,56.52322254,247.47212468,66.30892763,2.73854681,10.09886947,2.73854681,6.38308174,4.24087559,10.09886947,4.24087559,28.25012037
0.58533098,0.24858552,0.29733323,0.01503389,0.10001297,-0.00050175,204.33848294,49.39220106,-22.10912174,49.39220106,284.12163913,56.59528452,-22.10912174,56.59528452,247.28676794,66.53934734,3.37090878,10.20166836,3.37090878,6.41330162,4.33744639,10.20166836,4.33744639,28.29137314
0.58547503,0.24958780,0.29732805,0.01379817,0.10043022,-0.00053517,204.49361023,49.54814645,-22.10526594,49.54814645,283.57207428,56.66828231,-22.10526594,56.66828231,247.09850020,66.75076739,4.01463315,10.30140343,4.01463315,6.45682819,4.43836566,10.30140343,4.43836566,28.33117466
0.58560694,0.25059412,0.29732253,0.01260725,0.10082122,-0.00056961,204.65275256,49.69831574,-22.10330556,49.69831574,283.01525214,56.74222356,-22.10330556,56.74222356,246.90724995,66.94329958,4.66930005,10.39806538,4.66930005,6.51420490,4.54354314,10.39806538,4.54354314,28.36953584
0.58572718,0.25160423,0.29731666,0.01146242,0.10118738,-0.00060504,204.81578316,49.84273578,-22.10318451,49.84273578,282.45106267,56.81711046,-22.10318451,56.81711046,246.71294201,67.11707028,5.33447639,10.49164787,5.33447639,6.58596741,4.65288498,10.49164787,4.65288498,28.40647002
0.58583619,0.25261787,0.29731043,0.01036478,0.10153023,-0.00064142,204.98257544,49.98143653,-22.10484470,49.98143653,281.87939450,56.89293970,-22.10484470,56.89293970,246.51549762,67.27221997,6.00971638,10.58214742,6.00971638,6.67264224,4.76629382,10.58214742,4.76629382,28.44199277
0.58593447,0.25363483,0.29730383,0.00931529,0.10185140,-0.00067874,205.15300298,50.11445105,-22.10822611,50.11445105,281.30013506,56.96970248,-22.10822611,56.96970248,246.31483451,67.40890280,6.69456207,10.66956337,6.69456207,6.77474544,4.88366893,10.66956337,4.88366893,28.47612160
0.58602250,0.25465490,0.29729685,0.00831473,0.10215265,-0.00071697,205.32693964,50.24181552,-22.11326683,50.24181552,280.71317079,57.04738443,-22.11326683,57.04738443,246.11086698,67.52728601,7.38854399,10.75389772,7.38854399,6.89278122,5.00490627,10.75389772,5.00490627,28.50887573
0.58610077,0.25567788,0.29728949,0.00736373,0.10243582,-0.00075608,205.50425962,50.36356915,-22.11990322,50.36356915,280.11838733,57.12596564,-22.11990322,57.12596564,245.90350603,67.62754948,8.09118167,10.83515511,8.09118167,7.02724060,5.12989859,10.83515511,5.12989859,28.54027586
0.58616977,0.25670361,0.29728173,0.00646274,0.10270282,-0.00079606,205.68483748,50.47975420,-22.12806995,50.47975420,279.51566971,57.20542064,-22.12806995,57.20542064,245.69265948,67.70988519,8.80198430,10.91334268,8.80198430,7.17860007,5.25853556,10.91334268,5.25853556,28.57034392
0.58623002,0.25773194,0.29727357,0.00561204,0.10295563,-0.00083689,205.86854830,50.59041595,-22.13770011,50.59041595,278.90490257,57.28571841,-22.13770011,57.28571841,245.47823209,67.77449672,9.52045136,10.98847001,9.52045136,7.34732019,5.39070386,10.98847001,5.39070386,28.59910284
0.58628201,0.25876273,0.29726499,0.00481176,0.10319629,-0.00087856,206.05526765,50.69560265,-22.14872532,50.69560265,278.28597037,57.36682241,-22.14872532,57.36682241,245.26012572,67.82159872,10.24607325,11.06054901,10.24607325,7.53384427,5.52628729,11.06054901,5.52628729,28.62657627
0.58632626,0.25979587,0.29725600,0.00406186,0.10342686,-0.00092107,206.24487175,50.79536552,-22.16107584,50.79536552,277.65875765,57.44869058,-22.16107584,57.44869058,245.03823950,67.85141638,10.97833198,11.12959383,10.97833198,7.73859701,5.66516690,11.12959383,5.66516690,28.65278839
