x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46206291,0.64825340,0.22985272,0.99996186,0.00459225,-0.00678941,-0.00301412,643.06692178,-0.62051605,-67.73195635,-0.62051605,590.08067958,-14.35261807,-67.73195635,-14.35261807,231.77146110,26.83723810,-7.26465653,26.18829669,-7.26465653,41.94399185,-38.10298434,26.18829669,-38.10298434,84.44514827
0.46016910,0.65116112,0.22998465,0.99996116,0.00461223,-0.00684562,-0.00308849,643.67098415,-0.56996481,-67.82221789,-0.56996481,590.32810681,-14.18782283,-67.82221789,-14.18782283,231.96689838,26.51279243,-7.27872206,26.28652458,-7.27872206,42.65045267,-38.90416713,26.28652458,-38.90416713,83.79725900
0.45826154,0.65405596,0.23011480,0.99996046,0.00463187,-0.00690099,-0.00316223,644.27697375,-0.51954226,-67.91007844,-0.51954226,590.57804731,-14.02083328,-67.91007844,-14.02083328,232.15585731,26.17831360,-7.28523424,26.36918759,-7.28523424,43.33995122,-39.69367448,26.36918759,-39.69367448,83.17777273
0.45634023,0.65693613,0.23024313,0.99995976,0.00465112,-0.00695548,-0.00323532,644.88485912,-0.46927102,-67.99556928,-0.46927102,590.83073551,-13.85193231,-67.99556928,-13.85193231,232.33779994,25.83501099,-7.28426270,26.43677807,-7.28426270,44.01073095,-40.46981890,26.43677807,-40.46981890,82.58830172
0.45440528,0.65979987,0.23036963,0.99995906,0.00466997,-0.00700908,-0.00330774,645.49460773,-0.41917379,-68.07872718,-0.41917379,591.08638907,-13.68141032,-68.07872718,-13.68141032,232.51221854,25.48408180,-7.27588682,26.48981214,-7.27588682,44.66098512,-41.23085283,26.48981214,-41.23085283,82.03020962
0.45245693,0.66264551,0.23049431,0.99995836,0.00468839,-0.00706177,-0.00337947,646.10618619,-0.36927331,-68.15959425,-0.36927331,591.34520872,-13.50956396,-68.15959425,-13.50956396,232.67863963,25.12670645,-7.26019508,26.52882765,-7.26019508,45.28886195,-41.97497231,26.52882765,-41.97497231,81.50460058
0.45049552,0.66547143,0.23061717,0.99995767,0.00470637,-0.00711353,-0.00345049,646.71956048,-0.31959243,-68.23821771,-0.31959243,591.60737834,-13.33669501,-68.23821771,-13.33669501,232.83662781,24.76404419,-7.23728432,26.55438209,-7.23728432,45.89247041,-42.70032144,26.55438209,-42.70032144,81.01231048
0.44852153,0.66827611,0.23073825,0.99995698,0.00472387,-0.00716433,-0.00352079,647.33469619,-0.27015407,-68.31464971,-0.27015407,591.87306492,-13.16310910,-68.31464971,-13.16310910,232.98578946,24.39722905,-7.20725899,26.56705056,-7.20725899,46.46988669,-43.40499724,26.56705056,-43.40499724,80.55390049
0.44653558,0.67105815,0.23085757,0.99995629,0.00474087,-0.00721414,-0.00359034,647.95155875,-0.22098127,-68.38894707,-0.22098127,592.14241865,-12.98911453,-68.38894707,-12.98911453,233.12577620,24.02736602,-7.17023041,26.56742361,-7.17023041,47.01916125,-44.08705527,26.56742361,-44.08705527,80.12965298
0.44453840,0.67381627,0.23097518,0.99995561,0.00475736,-0.00726297,-0.00365913,648.57011359,-0.17209721,-68.46117101,-0.17209721,592.41557307,-12.81502095,-68.46117101,-12.81502095,233.25628815,23.65552757,-7.12631587,26.55610510,-7.12631587,47.53832647,-44.74451564,26.55610510,-44.74451564,79.73956978
