x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.33798716,0.12876539,0.29612844,-0.14645198,-0.00848291,0.00258038,328.85669653,43.66434235,0.72428962,43.66434235,237.01733639,41.41196079,0.72428962,41.41196079,315.89414062,0.09211578,-1.86604422,-0.81458911,-1.86604422,87.63208874,36.34833114,-0.81458911,36.34833114,32.46570232
0.33651781,0.12868810,0.29615538,-0.14739492,-0.00689576,0.00280937,328.76806814,43.66196677,0.93266888,43.66196677,237.01915914,41.85295964,0.93266888,41.85295964,315.24140996,0.06080706,-0.93577755,-0.41689989,-0.93577755,85.89909745,36.46158922,-0.41689989,36.46158922,34.04399563
0.33503926,0.12862747,0.29618463,-0.14828928,-0.00515541,0.00304217,328.66560444,43.66191539,1.14682452,43.66191539,237.01663561,42.29644702,1.14682452,42.29644702,314.58219151,0.05000459,-0.01908056,-0.00867442,-0.01908056,84.16513447,36.55594381,-0.00867442,36.55594381,35.65814605
0.33355203,0.12858499,0.29621622,-0.14912936,-0.00327445,0.00327810,328.54928553,43.66438512,1.36676892,43.66438512,237.00967966,42.74225755,1.36676892,42.74225755,313.91685807,0.06001575,0.88232759,0.40927466,0.88232759,82.43224537,36.63128332,0.40927466,36.63128332,37.30594529
0.33205667,0.12856199,0.29625019,-0.14990961,-0.00126524,0.00351636,328.41912461,43.66956574,1.59250413,43.66956574,236.99820800,43.19022713,1.59250413,43.19022713,313.24579172,0.09102960,1.76680901,0.83608991,1.76680901,80.70241585,36.68753004,0.83608991,36.68753004,38.98504394
0.33055383,0.12855968,0.29628655,-0.15062461,0.00086019,0.00375608,328.27516913,43.67763923,1.82402136,43.67763923,236.98214053,43.64019318,1.82402136,43.64019318,312.56938374,0.14311568,2.63281070,1.27087105,2.63281070,78.97756758,36.72464035,1.27087105,36.72464035,40.69295586
0.32904418,0.12857919,0.29632531,-0.15126918,0.00309018,0.00399634,328.11750180,43.68877919,2.06130054,43.68877919,236.96140065,44.09199490,2.06130054,44.09199490,311.88803460,0.21622366,3.47886767,1.71267718,3.47886767,77.25955439,36.74260495,1.71267718,36.74260495,42.42706339
0.32752845,0.12862149,0.29636647,-0.15183841,0.00541346,0.00423612,327.94624144,43.70315019,2.30430989,43.70315019,236.93591555,44.54547348,2.30430989,44.54547348,311.20215381,0.31018367,4.30360557,2.16052919,4.30360557,75.55015876,36.74144876,2.16052919,36.74144876,44.18462341
0.32600741,0.12868746,0.29641003,-0.15232768,0.00781924,0.00447434,327.76154375,43.72090722,2.55300547,43.72090722,236.90561651,45.00047235,2.55300547,45.00047235,310.51215974,0.42470736,5.10574291,2.61341247,5.10574291,73.85108874,36.72123077,2.61341247,36.72123077,45.96277417
0.32448190,0.12877787,0.29645596,-0.15273276,0.01029720,0.00470985,327.56360196,43.74219522,2.80733082,43.74219522,236.87043915,45.45683739,2.80733082,45.45683739,309.81847944,0.55938965,5.88409273,3.07027973,5.88409273,72.16397524,36.68204367,3.07027973,36.68204367,47.75854287
0.32295276,0.12889340,0.29650423,-0.15304981,0.01283755,0.00494147,327.35264736,43.76714851,3.06721663,43.76714851,236.83032373,45.91441716,3.06721663,45.91441716,309.12154836,0.71371125,6.63756383,3.53005411,6.63756383,70.49036965,36.62401330,3.53005411,36.62401330,49.56885403
0.32142090,0.12903462,0.29655479,-0.15327547,0.01543102,0.00516797,327.12894960,43.79589044,3.33258037,43.79589044,236.78521533,46.37306309,3.33258037,46.37306309,308.42181005,0.88704174,7.36516149,3.99163243,7.36516149,68.83174194,36.54729801,3.99163243,36.54729801,51.39053849
0.31988725,0.12920202,0.29660759,-0.15340684,0.01806887,0.00538808,326.89281699,43.82853296,3.60332605,43.82853296,236.73506412,46.83262971,3.60332605,46.83262971,307.71971580,1.07864343,8.06598778,4.45388861,8.06598778,67.18947908,36.45208783,4.45388861,36.45208783,53.22034308
0.31835276,0.12939600,0.29666255,-0.15344155,0.02074290,0.00560053,326.64459653,43.86517625,3.87934397,43.86517625,236.67982554,47.29297485,3.87934397,47.29297485,307.01572426,1.28767573,8.73924138,4.91567731,8.73924138,65.56488386,36.33860345,4.91567731,36.33860345,55.05494086
0.31681842,0.12961688,0.29671960,-0.15337780,0.02344549,0.00580402,326.38467388,43.90590848,4.16051052,43.90590848,236.61946045,47.75395978,4.16051052,47.75395978,306.31030098,1.51320016,9.38421697,5.37583763,9.38421697,63.95917410,36.20709519,5.37583763,36.20709519,56.89094196
0.31528521,0.12986491,0.29677863,-0.15321435,0.02616952,0.00599728,326.11347314,43.95080551,4.44668804,43.95080551,236.55393532,48.21544946,4.44668804,48.21544946,305.60391788,1.75418588,10.00030418,5.83319700,10.00030418,62.37348225,36.05784174,5.83319700,36.05784174,58.72490479
0.31375413,0.13014027,0.29683954,-0.15295052,0.02890842,0.00617906,325.83145643,43.99993069,4.73772469,43.99993069,236.48322236,48.67731263,4.73772469,48.67731263,304.89705280,2.00951575,10.58698623,6.28657515,10.58698623,60.80885532,35.89114882,6.28657515,35.89114882,60.55334774
0.31222620,0.13044308,0.29690221,-0.15258625,0.03165614,0.00634814,325.53912346,44.05333476,5.03345445,44.05333476,236.40729958,49.13942201,5.03345445,49.13942201,304.19018885,2.27799278,11.14383808,6.73478819,11.14383808,59.26625519,35.70734778,6.73478819,35.70734778,62.37276124
0.31070241,0.13077339,0.29696651,-0.15212207,0.03440713,0.00650334,325.23701075,44.11105567,5.33369707,44.11105567,236.32615095,49.60165444,5.33369707,49.60165444,303.48381382,2.55834707,11.67052433,7.17665273,11.67052433,57.74655923,35.50679404,7.17665273,35.50679404,64.17962005
0.30918376,0.13113122,0.29703228,-0.15155905,0.03715634,0.00664358,324.92569088,44.17311858,5.63825813,44.17311858,236.23976637,50.06389097,5.63825813,50.06389097,302.77841955,2.84924309,12.16679676,7.61099010,12.16679676,56.25056129,35.28986552,7.61099010,35.28986552,65.97039580
0.30767123,0.13151652,0.29709938,-0.15089886,0.03989918,0.00676784,324.60577146,44.23953585,5.94692919,44.23953585,236.14814180,50.52601701,5.94692919,50.52601701,302.07450118,3.14928716,12.63249156,8.03663055,12.63249156,54.77897290,35.05696097,8.03663055,35.05696097,67.74156972
0.30616578,0.13192921,0.29716764,-0.15014370,0.04263150,0.00687517,324.27789402,44.31030706,6.25948789,44.31030706,236.05127918,50.98792242,6.25948789,50.98792242,301.37255648,3.45703538,13.06752636,8.45241748,13.06752636,53.33242489,34.80849827,8.45241748,34.80849827,69.48964537
0.30466835,0.13236915,0.29723688,-0.14929629,0.04534956,0.00696476,323.94273271,44.38541909,6.57569822,44.38541909,235.94918649,51.44950157,6.57569822,51.44950157,300.67308510,3.77100161,13.47189699,8.85721170,13.47189699,51.91146914,34.54491269,8.85721170,34.54491269,71.21116146
0.30317985,0.13283620,0.29730693,-0.14835980,0.04805004,0.00703590,323.60099287,44.46484630,6.89531080,44.46484630,235.84187769,51.91065342,6.89531080,51.91065342,299.97658772,4.08966561,13.84567406,9.24989565,13.84567406,50.51658062,34.26665512,9.24989565,34.26665512,72.90270460
0.30170116,0.13333015,0.29737760,-0.14733788,0.05072997,0.00708800,323.25340946,44.54855065,7.21806318,44.54855065,235.72937266,52.37128158,7.21806318,52.37128158,299.28356533,4.41148143,14.18899935,9.62937750,14.18899935,49.14815971,33.97419029,9.62937750,33.97419029,74.56092193
0.30023310,0.13385080,0.29744869,-0.14623457,0.05338670,0.00712061,322.90074536,44.63648195,7.54368026,44.63648195,235.61169715,52.83129432,7.54368026,52.83129432,298.59451832,4.73488563,14.50208212,9.99459531,14.50208212,47.80653461,33.66799499,9.99459531,33.66799499,76.18253360
0.29877646,0.13439789,0.29752001,-0.14505425,0.05601793,0.00713341,322.54378950,44.72857813,7.87187477,44.72857813,235.48888265,53.29060462,7.87187477,53.29060462,297.90994569,5.05830569,14.78519525,10.34452106,14.78519525,46.49196398,33.34855634,10.34452106,33.34855634,77.76434501
0.29733201,0.13497116,0.29759136,-0.14380164,0.05862160,0.00712624,322.18335488,44.82476550,8.20234774,44.82476550,235.36096633,53.74913013,8.20234774,53.74913013,297.23034413,5.38016828,15.03867140,10.67816454,15.03867140,45.20463974,33.01636999,10.67816454,33.01636999,79.30325876
0.29590043,0.13557032,0.29766254,-0.14248171,0.06119590,0.00709908,321.82027651,44.92495912,8.53478910,44.92495912,235.22799086,54.20679317,8.53478910,54.20679317,296.55620716,5.69890746,15.26289901,10.99457722,15.26289901,43.94468996,32.67193849,10.99457722,32.67193849,80.79628622
