x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55000000,0.00000000,0.30000000,0.00003521,0.00003703,0.00002153,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.00000000,0.00000000,0.00000000,300.00000000,0.95949087,0.28574996,-1.41887634,0.28574996,22.17279724,8.79297756,-1.41887634,8.79297756,9.85524926
0.55000035,0.00000037,0.30000022,0.00006675,0.00007844,0.00004301,299.33059268,0.35192121,0.01189961,0.35192121,299.80791536,-0.34061671,0.01189961,-0.34061671,299.08050884,0.93881344,0.26590499,-1.38070187,0.26590499,21.98822862,8.68609326,-1.38070187,8.68609326,9.62100646
0.55000134,0.00000157,0.30000086,0.00012436,0.00016769,0.00008591,298.66354621,0.70601772,0.02197819,0.70601772,299.61354411,-0.68099542,0.02197819,-0.68099542,298.16469388,0.91818339,0.24625030,-1.34266104,0.24625030,21.80314947,8.57807689,-1.34266104,8.57807689,9.38721980
0.55000284,0.00000372,0.30000193,0.00017103,0.00026954,0.00012867,297.99889630,1.06230176,0.03022107,1.06230176,299.41684854,-1.02112023,0.03022107,-1.02112023,297.25258486,0.89760814,0.22679735,-1.30476937,0.22679735,21.61760128,8.46892672,-1.30476937,8.46892672,9.15397861
0.55000476,0.00000696,0.30000343,0.00020682,0.00038357,0.00017129,297.33667884,1.42078534,0.03661378,1.42078534,299.21779050,-1.36097487,0.03661378,-1.36097487,296.34421096,0.87709522,0.20755773,-1.26704265,0.20755773,21.43162657,8.35864135,-1.26704265,8.35864135,8.92137407
0.55000698,0.00001140,0.30000536,0.00023178,0.00050933,0.00021377,296.67692985,1.78148012,0.04114202,1.78148012,299.01633137,-1.70054276,0.04114202,-1.70054276,295.43960077,0.85665230,0.18854317,-1.22949692,0.18854317,21.24526883,8.24721970,-1.22949692,8.24721970,8.68949919
0.55000939,0.00001715,0.30000771,0.00024593,0.00064639,0.00025613,296.01968552,2.14439752,0.04379167,2.14439752,298.81243209,-2.03980697,0.04379167,-2.03980697,294.53878231,0.83628711,0.16976554,-1.19214846,0.16976554,21.05857259,8.13466102,-1.19214846,8.13466102,8.45844878
0.55001189,0.00002432,0.30001048,0.00024934,0.00079433,0.00029837,295.36498219,2.50954859,0.04454883,2.50954859,298.60605314,-2.37875020,0.04454883,-2.37875020,293.64178294,0.81600752,0.15123685,-1.15501375,0.15123685,20.87158331,8.02096488,-1.15501375,8.02096488,8.22831940
0.55001438,0.00003303,0.30001368,0.00024203,0.00095271,0.00034049,294.71285633,2.87694412,0.04339979,2.87694412,298.39715458,-2.71735485,0.04339979,-2.71735485,292.74862943,0.79582148,0.13296920,-1.11810954,0.13296920,20.68434745,7.90613122,-1.11810954,7.90613122,7.99920938
0.55001674,0.00004338,0.30001729,0.00022404,0.00112112,0.00038249,294.06334456,3.24659450,0.04033107,3.24659450,298.18569602,-3.05560293,0.04033107,-3.05560293,291.85934785,0.77573702,0.11497480,-1.08145276,0.11497480,20.49691241,7.79016033,-1.08145276,7.79016033,7.77121876
0.55001886,0.00005546,0.30002133,0.00019541,0.00129914,0.00042437,293.41648361,3.61850983,0.03532939,3.61850983,297.97163664,-3.39347613,0.03532939,-3.39347613,290.97396362,0.75576228,0.09726598,-1.04506056,0.09726598,20.30932652,7.67305285,-1.04506056,7.67305285,7.54444925
0.55002064,0.00006936,0.30002578,0.00015617,0.00148635,0.00046616,292.77231035,3.99269982,0.02838174,3.99269982,297.75493519,-3.73095576,0.02838174,-3.73095576,290.09250146,0.73590547,0.07985514,-1.00895027,0.07985514,20.12163903,7.55480979,-1.00895027,7.55480979,7.31900418
0.55002198,0.00008518,0.30003065,0.00010634,0.00168233,0.00050783,292.13086177,4.36917381,0.01947533,4.36917381,297.53555000,-4.06802278,0.01947533,-4.06802278,289.21498537,0.71617485,0.06275476,-0.97313941,0.06275476,19.93390007,7.43543254,-0.97313941,7.43543254,7.09498850
0.55002277,0.00010301,0.30003594,0.00004597,0.00188670,0.00054941,291.49217494,4.74794077,0.00859763,4.74794077,297.31343900,-4.40465782,0.00859763,-4.40465782,288.34143863,0.69657878,0.04597740,-0.93764565,0.04597740,19.74616068,7.31492289,-0.93764565,7.31492289,6.87250869
0.55002290,0.00012292,0.30004164,-0.00002493,0.00209903,0.00059090,290.85628708,5.12900927,-0.00426363,5.12900927,297.08855970,-4.74084111,-0.00426363,-4.74084111,287.47188377,0.67712567,0.02953566,-0.90248685,0.02953566,19.55847269,7.19328299,-0.90248685,7.19328299,6.65167276
0.55002227,0.00014499,0.30004775,-0.00010633,0.00231893,0.00063229,290.22323547,5.51238746,-0.01912043,5.51238746,296.86086921,-5.07655255,-0.01912043,-5.07655255,286.60634253,0.65782397,0.01344221,-0.86768098,0.01344221,19.37088881,7.07051542,-0.86768098,7.07051542,6.43259015
0.55002077,0.00016929,0.30005428,-0.00019819,0.00254600,0.00067360,289.59305750,5.89808309,-0.03598450,5.89808309,296.63032425,-5.41177168,-0.03598450,-5.41177168,285.74483590,0.63868218,-0.00229026,-0.83324615,-0.00229026,19.18346252,6.94662313,-0.83324615,6.94662313,6.21537171
0.55001831,0.00019591,0.30006123,-0.00030049,0.00277987,0.00071483,288.96579064,6.28610346,-0.05486724,6.28610346,296.39688117,-5.74647765,-0.05486724,-5.74647765,284.88738403,0.61970885,-0.01764905,-0.79920058,-0.01764905,18.99624806,6.82160951,-0.79920058,6.82160951,6.00012962
0.55001477,0.00022489,0.30006858,-0.00041320,0.00302013,0.00075597,288.34147244,6.67645544,-0.07577977,6.67645544,296.16049593,-6.08064928,-0.07577977,-6.08064928,284.03400629,0.60091255,-0.03262142,-0.76556261,-0.03262142,18.80930043,6.69547835,-0.76556261,6.69547835,5.78697736
0.55001004,0.00025631,0.30007635,-0.00053630,0.00326641,0.00079705,287.72014052,7.06914544,-0.09873291,7.06914544,295.92112413,-6.41426502,-0.09873291,-6.41426502,283.18472117,0.58230187,-0.04719466,-0.73235062,-0.04719466,18.62267531,6.56823389,-0.73235062,6.56823389,5.57602962
0.55000404,0.00029022,0.30008452,-0.00066975,0.00351833,0.00083806,287.10183256,7.46417938,-0.12373712,7.46417938,295.67872102,-6.74730293,-0.12373712,-6.74730293,282.33954634,0.56388540,-0.06135607,-0.69958311,-0.06135607,18.43642907,6.43988077,-0.69958311,6.43988077,5.36740224
0.54999665,0.00032668,0.30009311,-0.00081352,0.00377553,0.00087901,286.48658629,7.86156273,-0.15080257,7.86156273,295.43324151,-7.07974075,-0.15080257,-7.07974075,281.49849859,0.54567176,-0.07509297,-0.66727858,-0.07509297,18.25061872,6.31042410,-0.66727858,6.31042410,5.16121214
0.54998777,0.00036573,0.30010210,-0.00096758,0.00403764,0.00091989,285.87443952,8.26130043,-0.17993907,8.26130043,295.18464018,-7.41155583,-0.17993907,-7.41155583,280.66159383,0.52766955,-0.08839275,-0.63545560,-0.08839275,18.06530185,6.17986940,-0.63545560,6.17986940,4.95757727
0.54997730,0.00040743,0.30011150,-0.00113189,0.00430429,0.00096073,285.26543006,8.66339695,-0.21115608,8.66339695,294.93287129,-7.74272517,-0.21115608,-7.74272517,279.82884705,0.50988735,-0.10124284,-0.60413272,-0.10124284,17.88053662,6.04822267,-0.60413272,6.04822267,4.75661647
0.54996513,0.00045182,0.30012132,-0.00130642,0.00457515,0.00100151,284.65959578,9.06785621,-0.24446270,9.06785621,294.67788877,-8.07322541,-0.24446270,-8.07322541,279.00027236,0.49233372,-0.11363075,-0.57332851,-0.11363075,17.69638172,5.91549034,-0.57332851,5.91549034,4.55844949
0.54995117,0.00049893,0.30013153,-0.00149113,0.00484985,0.00104225,284.05697457,9.47468161,-0.27986766,9.47468161,294.41964630,-8.40303281,-0.27986766,-8.40303281,278.17588291,0.47501719,-0.12554410,-0.54306150,-0.12554410,17.51289629,5.78167932,-0.54306150,5.78167932,4.36319681
0.54993531,0.00054881,0.30014216,-0.00168598,0.00512806,0.00108296,283.45760435,9.88387599,-0.31737933,9.88387599,294.15809725,-8.73212331,-0.31737933,-8.73212331,277.35569094,0.45794622,-0.13697060,-0.51335019,-0.13697060,17.33013993,5.64679696,-0.51335019,5.64679696,4.17097961
0.54991745,0.00060149,0.30015319,-0.00189092,0.00540946,0.00112363,282.86152304,10.29544166,-0.35700566,10.29544166,293.89319474,-9.06047247,-0.35700566,-9.06047247,276.53970770,0.44112924,-0.14789810,-0.48421300,-0.14789810,17.14817260,5.51085112,-0.48421300,5.51085112,3.98191968
0.54989749,0.00065700,0.30016463,-0.00210591,0.00569370,0.00116427,282.26876857,10.70938034,-0.39875422,10.70938034,293.62489162,-9.38805549,-0.39875422,-9.38805549,275.72794351,0.42457461,-0.15831457,-0.45566827,-0.15831457,16.96705464,5.37385009,-0.45566827,5.37385009,3.79613929
0.54987533,0.00071537,0.30017648,-0.00233088,0.00598048,0.00120488,281.67937886,11.12569317,-0.44263217,11.12569317,293.35314052,-9.71484725,-0.44263217,-9.71484725,274.92040768,0.40829060,-0.16820816,-0.42773422,-0.16820816,16.78684664,5.23580266,-0.42773422,5.23580266,3.61376115
0.54985087,0.00077661,0.30018873,-0.00256579,0.00626949,0.00124548,281.09339183,11.54438069,-0.48864626,11.54438069,293.07789387,-10.04082225,-0.48864626,-10.04082225,274.11710855,0.39228538,-0.17756719,-0.40042896,-0.17756719,16.60760945,5.09671811,-0.40042896,5.09671811,3.43490826
0.54982402,0.00084076,0.30020139,-0.00281056,0.00656042,0.00128607,280.51084538,11.96544284,-0.53680280,11.96544284,292.79910386,-10.36595466,-0.53680280,-10.36595466,273.31805345,0.37656706,-0.18638019,-0.37377043,-0.18638019,16.42940410,4.95660620,-0.37377043,4.95660620,3.25970385
0.54979466,0.00090782,0.30021445,-0.00306515,0.00685298,0.00132665,279.93177738,12.38887895,-0.58710766,12.38887895,292.51672254,-10.69021831,-0.58710766,-10.69021831,272.52324872,0.36114358,-0.19463589,-0.34777640,-0.19463589,16.25229177,4.81547716,-0.34777640,4.81547716,3.08827126
